Date,Ret,Vol5,Vol10,Vol20,Vol100,Mom10,Mom20,Mom50,Mom100,VIX,VIXchg,CreditSpread,TermSpread,VIX_Regime,RSI14,Crash
2022-11-17,-0.003059976305411549,0.008748531481549172,0.020235151842001708,0.01809189075924098,0.01518404071873324,0.06261271702782278,0.07889763974959085,-0.011290842848340255,0.03995663236113889,23.93000030517578,0.01699955830249067,1.17,-0.6599999999999997,0,53.61197996627751,0
2022-11-18,0.00454038742462215,0.0075129505052525325,0.020034658983280915,0.017450602668935767,0.01518878017174174,0.052291674636245844,0.05808320451814075,-0.021995122288532065,0.04552967512314776,23.1200008392334,0.026643000411790796,1.17,-0.69,0,56.89216630155681,0
2022-11-21,-0.00363610274484516,0.006592126911280603,0.020155956748351765,0.017367702533865614,0.01516947947408219,0.0385312577123651,0.04149173137539175,-0.035912899872973525,0.05026090592506249,22.360000610351562,-0.057732783746849425,1.17,-0.6500000000000004,0,57.09252792595535,0
2022-11-22,0.01345711035296615,0.0083634874337807,0.020379444192710948,0.017271540358798798,0.015191325563476224,0.046858524393299295,0.03891715296493792,0.02147739879418764,0.0532543538548349,21.290000915527344,-0.1324368328749168,1.17,-0.71,0,68.77719404216265,0
2022-11-23,0.006301560438504383,0.007106868579688793,0.018330233638221012,0.017144064620012354,0.015201416662848521,0.07561535644903739,0.05340036276712068,0.024006820174385712,0.05789359169300945,20.350000381469727,-0.15595189272900678,1.17,-0.75,0,74.04679134135478,0
2022-11-25,-0.00022363796559421445,0.006540961666090009,0.007624492868267031,0.017055058024175892,0.015199220249624489,0.019357018380429913,0.05881903757266316,0.03553451255261608,0.0540970055897243,20.5,-0.1433347372099244,1.17,-0.7399999999999998,0,71.62832331665238,0
2022-11-28,-0.015957040555862334,0.01105329371792329,0.008932840652393859,0.01681880992751323,0.015219276897157248,-0.006524306443307593,0.01771138855587484,0.026844147199662105,0.02197060359547698,22.209999084472656,-0.03935993606092425,1.17,-0.77,0,62.69080469114799,0
2022-11-29,-0.001717599944829229,0.01092861585360736,0.008514914283347658,0.016721732790954263,0.015220225591434749,0.00027841203215106525,0.023355163574083404,0.017192198301004158,0.021055248840568197,21.889999389648438,-0.021019732015818415,1.17,-0.7300000000000004,0,60.754279476336635,0
2022-11-30,0.03150066606923829,0.017395369384192026,0.01298089293491902,0.017960840941665283,0.015488523196213608,0.023062144140231222,0.0602309989466161,0.06141796941791289,0.06538974285920518,20.579999923706055,-0.03334903528836708,1.17,-0.6999999999999997,0,75.38200260654267,0
2022-12-01,-0.0007358417551304175,0.01744527967886294,0.012568146846463558,0.016733603213132053,0.015458945178907555,0.030168099424250583,0.08672350608313373,0.0794669889296058,0.0741105345408839,19.84000015258789,-0.02506143583890208,1.1600000000000001,-0.7200000000000002,0,63.84463315683136,1
2022-12-02,-0.0011536157719982398,0.017487461342302387,0.012479367904702441,0.016436155749642946,0.015448080483390874,0.03213799907803927,0.09676296354797564,0.08735538678275967,0.0785354488581056,19.059999465942383,-0.07024392849061545,1.1600000000000001,-0.7700000000000005,0,59.88703448570321,1
2022-12-05,-0.017989369333633154,0.01803547215044337,0.014141110564778308,0.017021288499999912,0.015559652168867514,0.008989285147485093,0.061751024557875844,0.08598997427854749,0.06171166229626923,20.75,-0.0657361163735195,1.1600000000000001,-0.81,0,54.81576283319224,1
2022-12-06,-0.014414831944676965,0.01951927817936602,0.014921695091859087,0.01738523281251064,0.015520557113529348,-0.001926026316626972,0.036531019179371294,0.08102977184752924,0.026790302131376453,22.170000076293945,0.01279126059628477,1.1600000000000001,-0.8300000000000001,0,45.225411840573415,0
2022-12-07,-0.0017010661657247406,0.008322359377054177,0.01414177550895248,0.017383340309176803,0.01549752222691434,-0.016854118800515683,0.02921464645584204,0.0819526409050666,0.033577713795667874,22.68000030517578,0.10204083524075913,1.1600000000000001,-0.8399999999999999,0,47.5339193785076,0
2022-12-08,0.007833672523887447,0.010566068726997117,0.014244924749916616,0.016619522378329567,0.015282533893263015,-0.015357261650036813,0.059096849985251776,0.06938696808442346,0.01426993322520631,22.290000915527344,0.12348794073067992,1.1600000000000001,-0.8299999999999996,0,52.07034262127175,1
2022-12-09,-0.00747010848187557,0.010292799077070713,0.014359133819295496,0.011387814706257273,0.015289268074100764,-0.02249404227766083,-0.0035724414870496046,0.08404303087373322,0.00031803560304921596,22.829999923706055,0.197796461878194,1.1600000000000001,-0.7600000000000002,0,47.22052031490262,0
2022-12-12,0.014417276800393841,0.01156883039457051,0.01433370754629191,0.011648673378591608,0.015323246522458832,0.00767849835436718,0.0011040950347711576,0.11694391996396858,0.004510694665183168,25.0,0.20481927710843384,1.1600000000000001,-0.7799999999999998,0,54.059619086787094,1
2022-12-13,0.007569752720192335,0.008659402437291118,0.014448779494309817,0.011576563390357538,0.015311033189125755,0.017053266042006632,0.017336425908611286,0.09645114969000246,0.021593108271069195,22.549999237060547,0.017140241743748508,1.1600000000000001,-0.71,0,52.013170682255605,1
2022-12-14,-0.006393519197479436,0.009647271839700041,0.010106241325852701,0.01154138551600481,0.015325485014336998,-0.020310165856086915,0.002283582311659149,0.056697589782342295,0.01382962881275307,21.139999389648438,-0.06790127402140733,1.1600000000000001,-0.7400000000000002,0,47.065610531511076,1
2022-12-15,-0.024461455363302465,0.015056684852220805,0.012318345730126173,0.01269650793257794,0.015477377831470022,-0.043571024627984234,-0.014717380206726971,0.03325475541867218,0.0008710396937667841,22.829999923706055,0.024226064872098885,1.1600000000000001,-0.7900000000000005,0,39.61397718017316,0
