Date,Ret,Vol5,Vol10,Vol100,Mom10,Mom20,Mom50,Mom100,VIX,VIXchg,CreditSpread,TermSpread,VIX_Regime,RSI14,Mom20_div_Vol20,Mom20_mul_Vol5,VolRatio,VIX_per_Ret,Mom10_lag1,VIXchg_lag1,VolRatio_lag1,Crash,Reg_0,Reg_1,Reg_2
2017-10-17,0.0007051022042869,0.0012468538651682,0.0022445706758134,0.0042159099018363,0.0103220309947922,0.0220025707694282,0.0357764203502419,0.0671324430735902,10.3100004196167,0.022817509687647,0.6699999999999999,0.7599999999999998,0,85.65782315500003,9.764443048171865,2.7433990407498408e-05,1.80496774111126,14601.286268506805,0.0117709953689817,-0.0406582845494604,1.4707801024131986,0,True,False,False
2017-10-18,0.0009783856312444,0.0011649761635694,0.0022439205565607,0.0042151181877511,0.0101120770390923,0.0226343502340167,0.039347536206399,0.0683972770682463,10.06999969482422,0.0223349548055211,0.6699999999999999,0.7499999999999998,0,85.56270424079926,10.073118031086109,2.6368478500510928e-05,1.926287545819641,10281.955721597991,0.0103220309947922,0.022817509687647,1.80496774111126,0,True,False,False
2017-10-19,0.0002739856163971,0.0004256644162954,0.0014334326918432,0.0042124509976025,0.0044372971242649,0.0256626594922506,0.0396743574696618,0.0696192018588877,10.050000190734863,0.0141271791602815,0.6699999999999999,0.75,0,83.82772795671798,12.371316684993923,1.0923680973356456e-05,4.859481130749861,36547.36681289505,0.0101120770390923,0.0223349548055211,1.926287545819641,0,True,False,False
2017-10-20,0.0051601238629672,0.0019780194128979,0.0019511793394623,0.0042350440185451,0.0107714919715613,0.0307486090203585,0.0600012038593307,0.0754058565038398,9.970000267028809,0.0374610429982091,0.6699999999999999,0.79,0,84.36129004618039,13.78575877158766,6.082134556187659e-05,1.1265487523668474,1931.749853664028,0.0044372971242649,0.0141271791602815,4.859481130749861,0,True,False,False
2017-10-23,-0.0038890512565679,0.003209219987284,0.0023797159610499,0.0041966089023519,0.0085056691874167,0.0288436163633549,0.0543217518106124,0.06277204517746,11.06999969482422,0.1170534677369374,0.6699999999999999,0.7999999999999998,1,71.871263892849,11.938587837837463,9.256551013883038e-05,0.7522845838437088,2845.720779677083,0.0107714919715613,0.0374610429982091,1.1265487523668474,0,True,False,False
2017-10-24,0.0017567067418975,0.0032483066846834,0.0023217215220732,0.0041892900872888,0.007618896519133,0.0300302037638964,0.0458065117291965,0.0611070552760142,11.15999984741211,0.0824441700485412,0.6699999999999999,0.8199999999999998,1,72.42757033469081,12.465422758265234,9.754731162866927e-05,0.7411058674373588,6349.181909244165,0.0085056691874167,0.1170534677369374,0.7522845838437088,0,True,False,False
2017-10-25,-0.0049498065852536,0.0041493994037449,0.0029102907407199,0.0042239293256007,0.0010587731213229,0.0209560756028464,0.0407568568038614,0.056633878362079,11.229999542236328,0.1151936328268536,0.6699999999999999,0.8299999999999998,1,54.28569122964099,7.667062948468734,8.69551276112839e-05,0.6583125189933492,2268.3171618309307,0.007618896519133,0.0824441700485412,0.7411058674373588,0,True,False,False
2017-10-26,0.0012927099349089,0.0042110002579049,0.0028731421998303,0.0042074242717081,0.0038486059821094,0.0210507746672654,0.0402874641330812,0.0613928133203649,11.300000190734863,0.1243781070922147,0.6699999999999999,0.8300000000000001,1,58.45789139304301,7.700687343170814,8.864481755295254e-05,0.6487708107298263,8734.570158132536,0.0010587731213229,0.1151936328268536,0.6583125189933492,0,True,False,False
2017-10-27,0.0081760071454726,0.0052461980487652,0.0037920777608172,0.0042733751753234,0.0108256021964443,0.0257929987965765,0.0654034447700966,0.06809458616191,9.800000190734863,-0.0170511606560476,0.6699999999999999,0.8299999999999998,0,70.75115305422511,8.251408037218017,0.0001353151799584,0.5955350966521583,1198.482527456378,0.0038486059821094,0.1243781070922147,0.6487708107298263,0,True,False,False
2017-10-30,-0.0037251208010931,0.0052124925466582,0.0040814303188963,0.0042958788386444,0.0057188539984296,0.0175571659713429,0.063096735717548,0.0635919423980926,10.5,-0.0514904887568083,0.6699999999999999,0.79,0,61.39057224839018,5.437614761604569,9.151659676606584e-05,0.6191312083661868,2817.9440658283825,0.0108256021964443,-0.0170511606560476,0.5955350966521583,0,True,False,False
