core,alpha,beta,core2,AnnRet,Sharpe,MaxDD
0.5,0.5,0.0,0.0,0.12928896877938212,0.9173555091244464,-0.2790742726498596
0.5,0.5,0.0,0.1,0.12928896877938212,0.9173555091244464,-0.2790742726498596
0.5,0.5,0.0,0.2,0.12928896877938212,0.9173555091244464,-0.2790742726498596
0.5,0.5,0.0,0.3,0.12928896877938212,0.9173555091244464,-0.2790742726498596
0.0,1.5,0.5,0.3,0.1020432680916652,0.7747559997448362,-0.32287440411070234
0.0,1.5,0.5,0.2,0.1020432680916652,0.7747559997448362,-0.32287440411070234
0.0,1.5,0.5,0.1,0.1020432680916652,0.7747559997448362,-0.32287440411070234
0.0,1.5,0.5,0.0,0.1020432680916652,0.7747559997448362,-0.32287440411070234
0.25,1.5,0.5,0.3,0.1019992265813996,0.7744196797462246,-0.3228744041107017
0.25,1.5,0.5,0.2,0.1019992265813996,0.7744196797462246,-0.3228744041107017
0.25,1.5,0.5,0.1,0.1019992265813996,0.7744196797462246,-0.3228744041107017
0.25,1.5,0.5,0.0,0.1019992265813996,0.7744196797462246,-0.3228744041107017
0.0,1.0,0.5,0.3,0.10198454245578903,0.7743074393605183,-0.32287440411070134
0.0,1.0,0.5,0.2,0.10198454245578903,0.7743074393605183,-0.32287440411070134
0.0,1.0,0.5,0.1,0.10198454245578903,0.7743074393605183,-0.32287440411070134
0.0,1.0,0.5,0.0,0.10198454245578903,0.7743074393605183,-0.32287440411070134
0.25,1.0,0.5,0.0,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.25,1.0,0.5,0.1,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.25,1.0,0.5,0.2,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.25,1.0,0.5,0.3,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.5,1.5,0.5,0.3,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.5,1.5,0.5,0.2,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.5,1.5,0.5,0.1,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.5,1.5,0.5,0.0,0.10195516876847033,0.7740827582513062,-0.3228744041107017
0.5,1.0,0.5,0.3,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.5,1.0,0.5,0.2,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.5,1.0,0.5,0.1,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.5,1.0,0.5,0.0,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.0,0.5,0.5,0.0,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.0,0.5,0.5,0.1,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.0,0.5,0.5,0.2,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.0,0.5,0.5,0.3,0.10192578782989248,0.7738578102939961,-0.3228744041107007
0.25,0.5,0.5,0.3,0.10191109464020665,0.7737452363483515,-0.3228744041107011
0.25,0.5,0.5,0.2,0.10191109464020665,0.7737452363483515,-0.3228744041107011
0.25,0.5,0.5,0.1,0.10191109464020665,0.7737452363483515,-0.3228744041107011
0.25,0.5,0.5,0.0,0.10191109464020665,0.7737452363483515,-0.3228744041107011
0.5,0.5,0.5,0.0,0.10189639963629737,0.7736325958120406,-0.32287440411070134
0.5,0.5,0.5,0.1,0.10189639963629737,0.7736325958120406,-0.32287440411070134
0.5,0.5,0.5,0.2,0.10189639963629737,0.7736325958120406,-0.32287440411070134
0.5,0.5,0.5,0.3,0.10189639963629737,0.7736325958120406,-0.32287440411070134
0.0,1.5,1.0,0.0,0.07193275545453526,0.5265847004990497,-0.38467455578071186
0.0,1.5,1.0,0.1,0.07193275545453526,0.5265847004990497,-0.38467455578071186
0.0,1.5,1.0,0.2,0.07193275545453526,0.5265847004990497,-0.38467455578071186
0.0,1.5,1.0,0.3,0.07193275545453526,0.5265847004990497,-0.38467455578071186
0.25,1.5,1.0,0.0,0.07190095094981719,0.5263701704466185,-0.38467455578071164
0.25,1.5,1.0,0.1,0.07190095094981719,0.5263701704466185,-0.38467455578071164
0.25,1.5,1.0,0.2,0.07190095094981719,0.5263701704466185,-0.38467455578071164
0.25,1.5,1.0,0.3,0.07190095094981719,0.5263701704466185,-0.38467455578071164
0.0,1.0,1.0,0.3,0.07189034636317371,0.5262985985332581,-0.3846745557807112
0.0,1.0,1.0,0.2,0.07189034636317371,0.5262985985332581,-0.3846745557807112
0.0,1.0,1.0,0.1,0.07189034636317371,0.5262985985332581,-0.3846745557807112
0.0,1.0,1.0,0.0,0.07189034636317371,0.5262985985332581,-0.3846745557807112
0.5,1.5,1.0,0.0,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.5,1.5,1.0,0.1,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.5,1.5,1.0,0.2,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.5,1.5,1.0,0.3,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.25,1.0,1.0,0.0,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.25,1.0,1.0,0.1,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.25,1.0,1.0,0.2,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.25,1.0,1.0,0.3,0.07186913256010863,0.5261553619626123,-0.3846745557807121
0.0,0.5,1.0,0.0,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.0,0.5,1.0,0.1,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.0,0.5,1.0,0.2,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.0,0.5,1.0,0.3,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.5,1.0,1.0,0.0,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.5,1.0,1.0,0.1,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.5,1.0,1.0,0.2,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.5,1.0,1.0,0.3,0.07184791258159229,0.5260120018446229,-0.3846745557807123
0.25,0.5,1.0,0.0,0.07183730027563473,0.5259402754971428,-0.3846745557807114
0.25,0.5,1.0,0.1,0.07183730027563473,0.5259402754971428,-0.3846745557807114
0.25,0.5,1.0,0.2,0.07183730027563473,0.5259402754971428,-0.3846745557807114
0.25,0.5,1.0,0.3,0.07183730027563473,0.5259402754971428,-0.3846745557807114
0.5,0.5,1.0,0.0,0.0718266864247259,0.525868518312973,-0.38467455578071197
0.5,0.5,1.0,0.1,0.0718266864247259,0.525868518312973,-0.38467455578071197
0.5,0.5,1.0,0.2,0.0718266864247259,0.525868518312973,-0.38467455578071197
0.5,0.5,1.0,0.3,0.0718266864247259,0.525868518312973,-0.38467455578071197
